DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4
01M450,East Side Community School,English Language Learners,2017-18,s,No Data,s,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M450,East Side Community School,Enrolled over the Counter,2017-18,16,8,s,s,s,9,56.3%,7,43.8%,s,s,s,s,11,68.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M450,East Side Community School,Receive free or reduced price lunch,2017-18,263,61,71,65,66,127,48.3%,136,51.7%,35,13.3%,58,22.1%,152,57.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,45,s,s,16,35.6%,21,46.7%,s,s,s,s,45,s,s,26,57.8%,11,24.4%,s,s,s,s
02M294,Essex Street Academy,English Language Learners,2017-18,12,s,s,s,s,6,50.0%,6,50.0%,s,s,s,s,10,83.3%,s,s,s,s,10,83.3%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M450,East Side Community School,Students in temporary housing,2017-18,18,s,6,s,s,8,44.4%,10,55.6%,s,s,6,33.3%,8,44.4%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M450,East Side Community School,Students with Disabilities,2017-18,89,24,29,19,17,29,32.6%,60,67.4%,7,7.9%,19,21.3%,56,62.9%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,14,s,s,9,64.3%,s,s,s,s,s,s,13,7,53.8%,6,46.2%,s,s,s,s,s,s
01M458,Forsyth Satellite Academy,All Students,2017-18,203,16,65,79,43,117,57.6%,86,42.4%,s,s,70,34.5%,121,59.6%,s,s,9,4.4%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M458,Forsyth Satellite Academy,English Language Learners,2017-18,16,No Data,s,7,s,8,50.0%,8,50.0%,s,s,s,s,13,81.3%,s,s,s,s,13,81.3%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M458,Forsyth Satellite Academy,Enrolled over the Counter,2017-18,106,11,30,38,27,60,56.6%,46,43.4%,s,s,36,34.0%,63,59.4%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M458,Forsyth Satellite Academy,Receive free or reduced price lunch,2017-18,174,14,54,65,41,101,58.0%,73,42.0%,s,s,56,32.2%,108,62.1%,s,s,8,4.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M458,Forsyth Satellite Academy,Students in temporary housing,2017-18,28,s,s,9,s,16,57.1%,12,42.9%,s,s,s,s,19,67.9%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M458,Forsyth Satellite Academy,Students with Disabilities,2017-18,57,s,16,23,s,32,56.1%,25,43.9%,s,s,22,38.6%,34,59.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M509,Marta Valle High School,All Students,2017-18,148,39,33,38,38,88,59.5%,60,40.5%,7,4.7%,47,31.8%,88,59.5%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,26,s,s,13,50.0%,7,26.9%,s,s,s,s,25,14,56.0%,10,40.0%,s,s,s,s,s,s
01M509,Marta Valle High School,English Language Learners,2017-18,10,s,s,s,s,s,s,s,s,s,s,s,s,6,60.0%,s,s,s,s,6,60.0%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M509,Marta Valle High School,Enrolled over the Counter,2017-18,10,s,s,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M509,Marta Valle High School,Receive free or reduced price lunch,2017-18,138,36,33,33,36,83,60.1%,55,39.9%,6,4.3%,41,29.7%,85,61.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,23,s,s,12,52.2%,7,30.4%,s,s,s,s,23,13,56.5%,9,39.1%,s,s,s,s,s,s
01M509,Marta Valle High School,Students in temporary housing,2017-18,20,11,s,No Data,s,12,60.0%,8,40.0%,s,s,8,40.0%,9,45.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,6,s,s,s,s,s,s,s,s,s,s,6,s,s,s,s,s,s,s,s,s,s
01M509,Marta Valle High School,Students with Disabilities,2017-18,38,12,10,6,10,12,31.6%,26,68.4%,s,s,12,31.6%,25,65.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,7,s,s,s,s,s,s,s,s,s,s,7,s,s,s,s,s,s,s,s,s,s
01M515,Lower East Side Preparatory High School,All Students,2017-18,557,No Data,212,200,145,237,42.5%,320,57.5%,318,57.1%,58,10.4%,165,29.6%,6,1.1%,10,1.8%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M515,Lower East Side Preparatory High School,English Language Learners,2017-18,391,No Data,182,156,53,156,39.9%,235,60.1%,255,65.2%,13,3.3%,117,29.9%,s,s,s,s,122,31.2%,227,58.1%,15,3.8%,s,s,s,s,s,s,s,s,s,s,s,s,12,3.1%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M515,Lower East Side Preparatory High School,Enrolled over the Counter,2017-18,258,No Data,167,55,36,104,40.3%,154,59.7%,106,41.1%,37,14.3%,103,39.9%,6,2.3%,6,2.3%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M515,Lower East Side Preparatory High School,Receive free or reduced price lunch,2017-18,417,No Data,164,154,99,185,44.4%,232,55.6%,247,59.2%,38,9.1%,120,28.8%,6,1.4%,6,1.4%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M515,Lower East Side Preparatory High School,Students in temporary housing,2017-18,80,No Data,33,32,15,39,48.8%,41,51.2%,54,67.5%,s,s,20,25.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s
01M515,Lower East Side Preparatory High School,Students with Disabilities,2017-18,26,No Data,s,s,13,13,50.0%,13,50.0%,s,s,6,23.1%,15,57.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M539,"New Explorations into Science, Technology and Math",All Students,2017-18,582,145,163,146,128,263,45.2%,319,54.8%,168,28.9%,76,13.1%,109,18.7%,27,4.6%,202,34.7%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,119,9,7.6%,15,12.6%,47,39.5%,48,40.3%,95,79.8%,62,13,21.0%,14,22.6%,20,32.3%,15,24.2%,35,56.5%
01M539,"New Explorations into Science, Technology and Math",English Language Learners,2017-18,s,s,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"New Explorations into Science, Technology and Math",Enrolled over the Counter,2017-18,19,16,s,s,No Data,9,47.4%,10,52.6%,s,s,s,s,7,36.8%,s,s,6,31.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"New Explorations into Science, Technology and Math",Receive free or reduced price lunch,2017-18,245,62,58,64,61,97,39.6%,148,60.4%,99,40.4%,32,13.1%,71,29.0%,7,2.9%,36,14.7%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,56,9,16.1%,10,17.9%,17,30.4%,20,35.7%,37,66.1%,33,11,33.3%,6,18.2%,8,24.2%,8,24.2%,16,48.5%
01M539,"New Explorations into Science, Technology and Math",Students in temporary housing,2017-18,10,s,s,s,s,s,s,s,s,6,60.0%,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,"New Explorations into Science, Technology and Math",Students with Disabilities,2017-18,83,37,24,s,s,16,19.3%,67,80.7%,s,s,19,22.9%,36,43.4%,s,s,16,19.3%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32,s,s,11,34.4%,12,37.5%,s,s,s,s,23,12,52.2%,10,43.5%,s,s,s,s,s,s
01M650,Cascades High School,All Students,2017-18,241,34,80,73,54,132,54.8%,109,45.2%,10,4.1%,95,39.4%,127,52.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M650,Cascades High School,English Language Learners,2017-18,7,No Data,s,s,No Data,s,s,s,s,s,s,s,s,7,100.0%,s,s,s,s,7,100.0%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M650,Cascades High School,Enrolled over the Counter,2017-18,137,29,53,39,16,77,56.2%,60,43.8%,s,s,58,42.3%,71,51.8%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M650,Cascades High School,Receive free or reduced price lunch,2017-18,201,30,68,58,45,112,55.7%,89,44.3%,9,4.5%,82,40.8%,103,51.2%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M650,Cascades High School,Students in temporary housing,2017-18,30,s,11,10,s,18,60.0%,12,40.0%,s,s,13,43.3%,16,53.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M650,Cascades High School,Students with Disabilities,2017-18,33,13,s,11,s,15,45.5%,18,54.5%,s,s,13,39.4%,19,57.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M696,Bard High School Early College,All Students,2017-18,588,168,136,152,132,371,63.1%,217,36.9%,167,28.4%,80,13.6%,100,17.0%,11,1.9%,230,39.1%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,127,s,s,s,s,41,32.3%,74,58.3%,115,90.6%,77,s,s,s,s,28,36.4%,37,48.1%,65,84.4%
01M696,Bard High School Early College,English Language Learners,2017-18,s,s,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M696,Bard High School Early College,Enrolled over the Counter,2017-18,s,s,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M696,Bard High School Early College,Receive free or reduced price lunch,2017-18,256,68,56,73,59,176,68.8%,80,31.3%,110,43.0%,53,20.7%,64,25.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,63,s,s,s,s,23,36.5%,32,50.8%,55,87.3%,42,s,s,s,s,15,35.7%,20,47.6%,35,83.3%
01M696,Bard High School Early College,Students in temporary housing,2017-18,16,s,6,s,s,s,s,s,s,6,37.5%,7,43.8%,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M696,Bard High School Early College,Students with Disabilities,2017-18,29,15,10,s,s,11,37.9%,18,62.1%,s,s,7,24.1%,13,44.8%,s,s,7,24.1%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,13,s,s,7,53.8%,s,s,s,s,s,s,12,s,s,6,50.0%,s,s,s,s,s,s
02M047,47 The American Sign Language and English Secondar,All Students,2017-18,164,38,57,32,37,122,74.4%,42,25.6%,s,s,47,28.7%,106,64.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,33,10,30.3%,14,42.4%,s,s,s,s,s,s,28,12,42.9%,10,35.7%,s,s,s,s,s,s
02M047,47 The American Sign Language and English Secondar,English Language Learners,2017-18,12,6,s,s,s,s,s,s,s,s,s,s,s,12,100.0%,s,s,s,s,10,83.3%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M047,47 The American Sign Language and English Secondar,Enrolled over the Counter,2017-18,7,s,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M047,47 The American Sign Language and English Secondar,Receive free or reduced price lunch,2017-18,144,34,51,27,32,105,72.9%,39,27.1%,s,s,40,27.8%,96,66.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,9,30.0%,13,43.3%,s,s,s,s,s,s,26,12,46.2%,8,30.8%,s,s,s,s,s,s
02M047,47 The American Sign Language and English Secondar,Students in temporary housing,2017-18,17,7,s,s,No Data,s,s,s,s,s,s,s,s,12,70.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
